Date,Genres,Time of Day,Duration,Activity while Listening,Mood,,
9/21/25,Pop,10:31-11:23,52,Getting Ready,Happy,,
9/21/25,Jazz Fusion,2:35- 3:03,28,Cleaning,Calm,,
9/21/25,Cinematic Instrumental,5:14-5:33,19,Cleaning,Calm,,
9/21/25,Jazz Fusion,11:44- 11:56,12,Getting Ready,Calm,,
9/22/25,Indie,10:57-11:33,36,Getting Ready,Happy,,
9/22/25,Jazz Fusion,11:46-11:53,7,Walking,Stressed,,
9/22/25,Jazz Fusion,5:12-5:28,16,Walking,Stressed,,
9/22/25,Rock,9:56-10:17,21,Getting Ready,Tired,,
9/23/25,Jazz Fusion,10:40-11:09,29,Getting Ready,Happy,,
9/23/25,Jazz Fusion,12:38-12:45,7,Cleaning,Calm,,
9/23/25,Jazz Fusion,12:54-1:10,16,Walking,Happy,,
9/23/25,Jazz Fusion,2:34-2:51,17,Walking,Happy,,
9/24/25,Jazz Fusion,8:59-9:30,31,Getting Ready,Stressed,,
9/24/25,Jazz Fusion,9:34-9:45,11,Walking,Stressed,,
9/24/25,Jazz Fusion,10:31-10:45,14,Walking,Stressed,,
9/24/25,Jazz Fusion,11:46-11:53,7,Walking,Stressed,,
9/24/25,Jazz Fusion,1:22-1:49,27,Walking,Calm,,
9/24/25,Cinematic Instrumental,2:18-3:35,77,Studying,Stressed,,
9/24/25,Jazz Fusion,3:41-3:51,10,Walking,Stressed,,
9/24/25,Jazz Fusion,5:14-6:39,85,Walking,Calm,,
9/25/25,Jazz Fusion,9:24-9:36,12,Homework,Stressed,,
9/25/25,Cinematic Instrumental,10:58-11:37,39,Homework,Stressed,,
9/25/25,Cinematic Instrumental,11:57-12:39,42,Homework,Stressed,,
9/25/25,Jazz Fusion,1:04-1:13,9,Walking,Calm,,
9/25/25,Indie,2:36-2:54,18,Walking,Happy,,
9/25/25,Jazz Fusion,4:01-4:26,25,Getting Ready,Stressed,,
9/26/25,Jazz Fusion,11:54-12:10,16,Getting Ready,Calm,,
9/27/25,Jazz Fusion,2:25-3:14,49,Homework,Stressed,,
9/28/25,Jazz Fusion,12:46-1:05,19,Getting Ready,Stressed,,
9/28/25,Indie,2:35-3:01,26,Walking,Stressed,,
9/28/25,Country,9:29-9:47,18,Getting Ready,Calm,,
9/29/25,Country,10:06-10:29,23,Getting Ready,Stressed,,
9/29/25,Jazz Fusion,11:44-11:49,5,Walking,Calm,,
9/29/25,Jazz Fusion,2:26-2:34,8,Walking,Stressed,,
9/29/25,Cinematic Instrumental,6:58-7:12,14,Homework,Calm,,
9/30/25,Cinematic Instrumental,11:31-1:50,139,Homework,Stressed,,
9/30/25,Country,2:15-2:43,28,Cleaning,Calm,,
9/30/25,Indie,5:54-6:05,11,Cleaning,Calm,,
10/1/25,Jazz Fusion,9:35-9:45,10,Walking,Stressed,,
10/1/25,Jazz Fusion,10:15-10:29,14,Getting Ready,Calm,,
10/2/25,Jazz Fusion,11:41-12:11,30,Getting Ready,Stressed,,
10/2/25,Jazz Fusion,12:34-12:47,13,Cleaning,Calm,,
10/2/25,Indie,12:57-1:08,11,Walking,Calm,,
10/2/25,Jazz Fusion,8:06-8:22,16,Walking,Calm,,
10/3/25,Jazz Fusion,10:27-10:46 (pm) ,19,Cleaning,Stressed,,
10/4/25,Jazz Fusion,3:21-5:41,140,Cleaning,Stressed,,
10/5/25,Jazz Fusion,11:34-11:50 (pm),16,Getting Ready,Happy,,
